Age,Gender,Ethnicity ,Home Location,Education,Marital Status ,chocolate,cheese,alcohol,tea/coffee,candy,scent,salad dressing,wine
22,1,1,1,2,1,2,1,2,1,2,4,3,3
22,1,1,1,2,1,2,1,2,1,2,4,3,3
39,2,1,2,3,1,3,1,4,2,3,4,4,2
27,1,2,1,1,1,2,2,1,1,4,3,1,1
41,1,1,1,4,3,1,2,3,2,3,2,1,1
54,1,1,1,3,2,1,1,3,1,4,3,3,1
30,1,2,1,2,2,1,2,3,1,4,2,1,1
31,2,1,1,2,1,1,3,1,1,1,2,1,1
23,1,1,1,2,2,2,1,3,1,4,4,3,3
22,1,1,1,4,1,1,4,4,3,3,2,1,1
32,1,5,1,2,2,2,1,4,1,4,2,1,1
23,2,1,1,4,1,3,1,4,3,1,2,2,3
24,1,1,1,3,1,1,1,4,1,1,3,3,1
32,1,1,1,2,1,2,2,3,1,3,1,2,1
27,1,1,3,6,1,1,2,3,1,2,4,1,2
28,1,6,6,3,1,1,2,1,1,2,4,1,2
53,2,1,2,4,2,1,1,1,2,3,3,1,1
22,2,1,1,2,1,1,1,1,2,4,4,3,3
23,1,6,4,2,1,2,1,4,1,4,2,1,2
29,1,1,1,1,2,1,1,1,1,4,4,3,2
30,3,1,1,2,1,1,1,2,4,1,1,3,1
29,1,2,1,2,1,2,1,4,2,1,2,1,1
24,4,1,1,2,1,1,2,1,1,4,1,1,1
