,Age,GenderValue,EthnicityValue,HomeValue,EducationValue,MaritalValue,ChocolateValue,CheeseValue,AlcoholValue,CoffeeTeaValue,CandyValue,ScentValue,DressingValue,WineValue
103,23,2,1,1,4,1,3,1,4,3,1,2,2,3
104,24,1,1,1,3,1,1,1,4,1,1,3,3,1
105,32,1,1,1,2,1,2,2,3,1,3,1,2,1
106,27,1,1,3,6,1,1,2,3,1,2,4,1,2
107,53,2,1,2,4,2,1,1,1,2,3,3,1,1
108,22,2,1,1,2,1,1,1,1,2,4,4,3,3
109,29,1,1,1,1,2,1,1,1,1,4,4,3,2
110,30,3,1,1,2,1,1,1,2,4,1,1,3,1
111,24,4,1,1,2,1,1,2,1,1,4,1,1,1
112,29,2,2,1,3,1,1,2,3,2,3,3,1,1
113,30,1,2,1,2,1,1,1,1,4,3,1,3,1
114,30,2,2,1,5,1,2,1,4,4,1,3,1,3
115,30,1,2,1,2,2,1,2,4,1,2,2,1,1
116,30,2,2,1,4,1,2,3,3,1,4,3,3,2
117,28,1,2,1,3,1,1,2,4,1,1,3,3,2
118,30,1,2,1,2,2,2,1,3,4,1,3,3,2
119,30,1,2,1,2,2,2,1,3,4,4,4,3,1
120,27,1,2,1,1,1,2,2,1,1,4,3,1,1
121,30,1,2,1,2,2,1,2,3,1,4,2,1,1
122,29,1,2,1,2,1,2,1,4,2,1,2,1,1
123,52,1,3,1,4,2,1,2,2,4,2,3,3,2
124,32,1,3,1,2,3,1,2,1,2,2,2,4,1
125,26,2,3,1,4,1,3,1,1,4,1,2,3,3
126,32,4,4,4,6,4,1,1,3,2,1,1,1,2
127,26,2,5,5,4,2,1,2,4,2,1,2,1,2
128,23,2,5,2,2,4,2,1,2,1,4,3,2,2
129,32,1,5,1,2,2,2,1,4,1,4,2,1,1
130,21,1,6,6,2,1,2,1,1,2,2,3,2,2
131,21,1,6,6,2,1,2,1,1,2,2,3,2,2
132,28,1,6,6,3,1,1,2,1,1,2,4,1,2
133,23,1,6,4,2,1,2,1,4,1,4,2,1,2
